부재ID,유형,층,구역,X(mm),Y(mm),Z_bot(mm),Z_top(mm),단면,길이(mm),각도(°),높이(mm),체적(m³),면적(m²),레이어
BM-B2F-0001,BEAM,B2F,DONG,106291.3,2283477.9,-9050.0,-5600.0,,6397.2,104.0,3450.0,1.024,0.0,S-BEAM
BM-B2F-0002,BEAM,B2F,DONG,105791.1,2283417.4,-9050.0,-5600.0,,6272.6,104.0,3450.0,1.004,0.0,S-BEAM
BM-B2F-0003,BEAM,B2F,DONG,163778.2,2242517.1,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0004,BEAM,B2F,DONG,164263.3,2242638.1,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0005,BEAM,B2F,DONG,169211.9,2243871.9,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0006,BEAM,B2F,DONG,169697.0,2243992.9,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0007,BEAM,B2F,DONG,144508.5,2242195.8,-9050.0,-5600.0,,7950.0,14.0,3450.0,1.272,0.0,S-GIRDER
BM-B2F-0008,BEAM,B2F,DONG,152683.3,2244234.0,-9050.0,-5600.0,,7900.0,14.0,3450.0,1.264,0.0,S-GIRDER
BM-B2F-0009,BEAM,B2F,DONG,152804.2,2243748.9,-9050.0,-5600.0,,7900.0,14.0,3450.0,1.264,0.0,S-GIRDER
BM-B2F-0010,BEAM,B2F,DONG,159887.7,2246030.3,-9050.0,-5600.0,,5950.0,14.0,3450.0,0.952,0.0,S-GIRDER
BM-B2F-0011,BEAM,B2F,DONG,159984.4,2245539.1,-9050.0,-5600.0,,5900.0,14.0,3450.0,0.944,0.0,S-GIRDER
BM-B2F-0012,BEAM,B2F,DONG,165661.0,2247469.7,-9050.0,-5600.0,,5150.0,14.0,3450.0,0.824,0.0,S-GIRDER
BM-B2F-0013,BEAM,B2F,DONG,165806.2,2246990.6,-9050.0,-5600.0,,5100.0,14.0,3450.0,0.816,0.0,S-GIRDER
BM-B2F-0014,BEAM,B2F,DONG,172428.8,2249157.1,-9050.0,-5600.0,,7800.0,14.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0015,BEAM,B2F,DONG,172574.0,2248678.0,-9050.0,-5600.0,,7850.0,14.0,3450.0,1.256,0.0,S-GIRDER
BM-B2F-0016,BEAM,B2F,DONG,146178.2,2242096.8,-9050.0,-5600.0,,4757.8,14.0,3450.0,0.761,0.0,S-GIRDER
BM-B2F-0017,BEAM,B2F,DONG,139138.0,2244824.7,-9050.0,-5600.0,,7699.9,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0018,BEAM,B2F,DONG,139042.6,2247274.4,-9050.0,-5600.0,,3000.0,104.0,3450.0,0.48,0.0,S-GIRDER
BM-B2F-0019,BEAM,B2F,DONG,148336.5,2245340.3,-9050.0,-5600.0,,4250.0,104.0,3450.0,0.68,0.0,S-GIRDER
BM-B2F-0020,BEAM,B2F,DONG,147851.4,2245219.4,-9050.0,-5600.0,,4250.0,104.0,3450.0,0.68,0.0,S-GIRDER
BM-B2F-0021,BEAM,B2F,DONG,156487.0,2247372.5,-9050.0,-5600.0,,4250.0,104.0,3450.0,0.68,0.0,S-GIRDER
BM-B2F-0022,BEAM,B2F,DONG,156001.9,2247251.5,-9050.0,-5600.0,,4250.0,104.0,3450.0,0.68,0.0,S-GIRDER
BM-B2F-0023,BEAM,B2F,DONG,162619.2,2250679.2,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0024,BEAM,B2F,DONG,162533.2,2248957.3,-9050.0,-5600.0,,4100.0,104.0,3450.0,0.656,0.0,S-GIRDER
BM-B2F-0025,BEAM,B2F,DONG,167713.2,2251949.3,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0026,BEAM,B2F,DONG,167228.1,2251828.3,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0027,BEAM,B2F,DONG,175766.7,2253957.2,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0028,BEAM,B2F,DONG,175281.5,2253836.3,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0029,BEAM,B2F,DONG,176103.6,2274307.2,-9050.0,-5600.0,,40171.1,104.0,3450.0,6.427,0.0,S-GIRDER
BM-B2F-0030,BEAM,B2F,DONG,179960.9,2256769.7,-9050.0,-5600.0,,4271.6,104.0,3450.0,0.683,0.0,S-GIRDER
BM-B2F-0031,BEAM,B2F,DONG,163871.3,2255474.6,-9050.0,-5600.0,,4750.0,14.0,3450.0,0.76,0.0,S-GIRDER
BM-B2F-0032,BEAM,B2F,DONG,163992.2,2254989.4,-9050.0,-5600.0,,4750.0,14.0,3450.0,0.76,0.0,S-GIRDER
BM-B2F-0033,BEAM,B2F,DONG,170445.0,2257113.6,-9050.0,-5600.0,,7800.0,14.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0034,BEAM,B2F,DONG,170566.0,2256628.4,-9050.0,-5600.0,,7800.0,14.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0035,BEAM,B2F,DONG,177018.8,2258752.6,-9050.0,-5600.0,,4750.0,14.0,3450.0,0.76,0.0,S-GIRDER
BM-B2F-0036,BEAM,B2F,DONG,177139.8,2258267.4,-9050.0,-5600.0,,4750.0,14.0,3450.0,0.76,0.0,S-GIRDER
