부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
COL-S30-004-0001,column,7.4222,0.0,20.517,0.0
COL-S30-004-0002,column,6.7519,0.0,19.558,0.0
COL-S30-004-0003,column,6.7519,0.0,19.558,0.0
COL-S30-004-0004,column,7.4222,0.0,20.517,0.0
COL-S30-004-0005,column,4.0472,0.0,15.099,0.0
COL-S30-004-0006,column,16.1578,0.0,30.401,0.0
COL-S30-004-0007,column,6.7519,0.0,19.558,0.0
COL-S30-004-0008,column,7.4222,0.0,20.517,0.0
COL-S30-004-0009,column,3.9783,0.0,14.931,0.0
COL-S30-004-0010,column,5.0332,0.0,16.8,0.0
COL-S30-004-0011,column,5.0855,0.0,16.898,0.0
COL-S30-004-0012,column,7.0005,0.0,19.838,0.0
COL-S30-004-0013,column,7.7117,0.0,20.825,0.0
COL-S30-004-0014,column,4.0472,0.0,15.099,0.0
COL-S30-004-0015,column,16.1578,0.0,30.401,0.0
COL-S30-004-0016,column,6.7519,0.0,19.558,0.0
COL-S30-004-0017,column,7.4222,0.0,20.517,0.0
COL-S30-004-0018,column,7.4222,0.0,20.517,0.0
COL-S30-004-0019,column,6.7519,0.0,19.558,0.0
COL-S30-004-0020,column,6.7519,0.0,19.558,0.0
COL-S30-004-0021,column,7.4222,0.0,20.517,0.0
COL-S30-004-0022,column,3.9783,0.0,14.931,0.0
COL-S30-004-0023,column,5.0332,0.0,16.8,0.0
COL-S30-004-0024,column,5.0855,0.0,16.898,0.0
COL-S30-004-0025,column,7.7117,0.0,20.825,0.0
COL-S30-004-0026,column,7.0005,0.0,19.838,0.0
COL-S30-004-0027,column,2.328,0.0,12.859,0.0
COL-S30-004-0028,column,2.328,0.0,12.859,0.0
COL-S30-005-0029,column,2.328,0.0,12.859,0.0
COL-S30-005-0030,column,2.328,0.0,12.859,0.0
COL-S30-004-0031,column,7.0844,0.0,22.043,0.0
COL-S30-004-0032,column,16.4726,0.0,30.499,0.0
COL-S30-004-0033,column,17.0546,0.0,30.947,0.0
COL-S30-004-0034,column,7.0844,0.0,22.043,0.0
COL-S30-004-0035,column,17.0546,0.0,30.947,0.0
COL-S30-004-0036,column,16.4726,0.0,30.499,0.0
