부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
COL-B2F-0001,column,4.337,0.0,16.864,0.0
COL-B2F-0002,column,4.337,0.0,16.864,0.0
COL-B2F-0003,column,4.337,0.0,16.864,0.0
COL-B2F-0004,column,4.337,0.0,16.864,0.0
COL-B2F-0005,column,4.337,0.0,16.864,0.0
COL-B2F-0006,column,4.337,0.0,16.864,0.0
COL-B2F-0007,column,7.3162,0.0,20.224,0.0
COL-B2F-0008,column,6.6554,0.0,19.279,0.0
COL-B2F-0009,column,6.6554,0.0,19.279,0.0
COL-B2F-0010,column,7.3162,0.0,20.224,0.0
COL-B2F-0011,column,3.9894,0.0,14.883,0.0
COL-B2F-0012,column,15.9269,0.0,29.967,0.0
COL-B2F-0013,column,6.6554,0.0,19.279,0.0
COL-B2F-0014,column,7.3162,0.0,20.224,0.0
COL-B2F-0015,column,3.9215,0.0,14.718,0.0
COL-B2F-0016,column,4.9613,0.0,16.56,0.0
COL-B2F-0017,column,5.0129,0.0,16.657,0.0
COL-B2F-0018,column,6.9005,0.0,19.555,0.0
COL-B2F-0019,column,7.6015,0.0,20.528,0.0
COL-B2F-0020,column,3.9894,0.0,14.883,0.0
COL-B2F-0021,column,15.9269,0.0,29.967,0.0
COL-B2F-0022,column,6.6554,0.0,19.279,0.0
COL-B2F-0023,column,7.3162,0.0,20.224,0.0
COL-B2F-0024,column,7.3162,0.0,20.224,0.0
COL-B2F-0025,column,6.6554,0.0,19.279,0.0
COL-B2F-0026,column,6.6554,0.0,19.279,0.0
COL-B2F-0027,column,7.3162,0.0,20.224,0.0
COL-B2F-0028,column,3.9215,0.0,14.718,0.0
COL-B2F-0029,column,4.9613,0.0,16.56,0.0
COL-B2F-0030,column,5.0129,0.0,16.657,0.0
COL-B2F-0031,column,7.6015,0.0,20.528,0.0
COL-B2F-0032,column,6.9005,0.0,19.555,0.0
COL-B2F-0033,column,4.337,0.0,16.864,0.0
COL-B2F-0034,column,2.2947,0.0,12.675,0.0
COL-B2F-0035,column,2.2947,0.0,12.675,0.0
COL-B2F-0036,column,2.2947,0.0,12.675,0.0
COL-B2F-0037,column,2.2947,0.0,12.675,0.0
COL-B2F-0038,column,6.9831,0.0,21.728,0.0
COL-B2F-0039,column,16.2373,0.0,30.063,0.0
COL-B2F-0040,column,16.8109,0.0,30.505,0.0
COL-B2F-0041,column,6.9831,0.0,21.728,0.0
COL-B2F-0042,column,16.8109,0.0,30.505,0.0
COL-B2F-0043,column,16.2373,0.0,30.063,0.0
COL-B2F-0044,column,6.9831,0.0,21.728,0.0
COL-B2F-0045,column,6.9831,0.0,21.728,0.0
COL-B2F-0046,column,6.9831,0.0,21.728,0.0
COL-B2F-0047,column,16.2373,0.0,30.063,0.0
COL-B2F-0048,column,16.2373,0.0,30.063,0.0
COL-B2F-0049,column,16.2373,0.0,30.063,0.0
COL-B2F-0050,column,16.8109,0.0,30.505,0.0
COL-B2F-0051,column,16.8109,0.0,30.505,0.0
COL-B2F-0052,column,16.8109,0.0,30.505,0.0
COL-B2F-0053,column,16.8109,0.0,30.505,0.0
COL-B2F-0054,column,16.2373,0.0,30.063,0.0
COL-B2F-0055,column,6.9831,0.0,21.728,0.0
COL-B2F-0056,column,16.8109,0.0,30.505,0.0
