부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
COL-sheet_1-0001,column,1.1186,0.0,8.393,0.0
COL-sheet_1-0002,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0003,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0004,column,4.2,0.0,15.4,0.0
COL-sheet_1-0005,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0006,column,1.12,0.0,8.4,0.0
COL-sheet_1-0007,column,1.12,0.0,8.4,0.0
COL-sheet_1-0008,column,1.225,0.0,8.4,0.0
COL-sheet_1-0009,column,1.12,0.0,8.4,0.0
COL-sheet_1-0010,column,1.12,0.0,8.4,0.0
COL-sheet_1-0011,column,1.12,0.0,8.4,0.0
COL-sheet_1-0012,column,1.12,0.0,8.4,0.0
COL-sheet_1-0013,column,1.12,0.0,8.4,0.0
COL-sheet_1-0014,column,1.12,0.0,8.4,0.0
COL-sheet_1-0015,column,2.1,0.0,11.2,0.0
COL-sheet_1-0016,column,2.45,0.0,11.9,0.0
COL-sheet_1-0017,column,2.1,0.0,11.2,0.0
COL-sheet_1-0018,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0019,column,2.52,0.0,12.6,0.0
COL-sheet_1-0020,column,2.1,0.0,11.2,0.0
COL-sheet_1-0021,column,1.12,0.0,8.4,0.0
COL-sheet_1-0022,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0023,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0024,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0025,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0026,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0027,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0028,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0029,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0030,column,1.12,0.0,8.4,0.0
COL-sheet_1-0031,column,1.12,0.0,8.4,0.0
COL-sheet_1-0032,column,1.12,0.0,8.4,0.0
COL-sheet_1-0033,column,1.12,0.0,8.4,0.0
COL-sheet_1-0034,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0035,column,1.12,0.0,8.4,0.0
COL-sheet_1-0036,column,1.12,0.0,8.4,0.0
COL-sheet_1-0037,column,1.12,0.0,8.4,0.0
COL-sheet_1-0038,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0039,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0040,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0041,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0042,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0043,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0044,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0045,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0046,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0047,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0048,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0049,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0050,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0051,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0052,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0053,column,1.12,0.0,8.4,0.0
COL-sheet_1-0054,column,1.12,0.0,8.4,0.0
COL-sheet_1-0055,column,1.12,0.0,8.4,0.0
COL-sheet_1-0056,column,1.12,0.0,8.4,0.0
COL-sheet_1-0057,column,1.12,0.0,8.4,0.0
COL-sheet_1-0058,column,1.12,0.0,8.4,0.0
COL-sheet_1-0059,column,1.12,0.0,8.4,0.0
COL-sheet_1-0060,column,1.12,0.0,8.4,0.0
COL-sheet_1-0061,column,1.12,0.0,8.4,0.0
COL-sheet_1-0062,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0063,column,2.5138,0.0,11.865,0.0
COL-sheet_1-0064,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0065,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0066,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0067,column,1.12,0.0,8.4,0.0
COL-sheet_1-0068,column,1.12,0.0,8.4,0.0
COL-sheet_1-0069,column,1.12,0.0,8.4,0.0
COL-sheet_1-0070,column,1.12,0.0,8.4,0.0
COL-sheet_1-0071,column,1.12,0.0,8.4,0.0
COL-sheet_1-0072,column,1.12,0.0,8.4,0.0
COL-sheet_1-0073,column,1.12,0.0,8.4,0.0
COL-sheet_1-0074,column,1.12,0.0,8.4,0.0
COL-sheet_1-0075,column,1.12,0.0,8.4,0.0
COL-sheet_1-0076,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0077,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0078,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0079,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0080,column,1.12,0.0,8.4,0.0
COL-sheet_1-0081,column,1.12,0.0,8.4,0.0
COL-sheet_1-0082,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0083,column,1.12,0.0,8.4,0.0
COL-sheet_1-0084,column,1.12,0.0,8.4,0.0
COL-sheet_1-0085,column,1.12,0.0,8.4,0.0
COL-sheet_1-0086,column,1.12,0.0,8.4,0.0
COL-sheet_1-0087,column,1.12,0.0,8.4,0.0
COL-sheet_1-0088,column,1.12,0.0,8.4,0.0
COL-sheet_1-0089,column,1.12,0.0,8.4,0.0
COL-sheet_1-0090,column,1.12,0.0,8.4,0.0
COL-sheet_1-0091,column,1.12,0.0,8.4,0.0
COL-sheet_1-0092,column,1.12,0.0,8.4,0.0
COL-sheet_1-0093,column,1.12,0.0,8.4,0.0
COL-sheet_1-0094,column,1.12,0.0,8.4,0.0
COL-sheet_1-0095,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0096,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0097,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0098,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0099,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0100,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0101,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0102,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0103,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0104,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0105,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0106,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0107,column,1.12,0.0,8.4,0.0
COL-sheet_1-0108,column,1.12,0.0,8.4,0.0
COL-sheet_1-0109,column,1.12,0.0,8.4,0.0
COL-sheet_1-0110,column,1.12,0.0,8.4,0.0
COL-sheet_1-0111,column,1.12,0.0,8.4,0.0
COL-sheet_1-0112,column,1.12,0.0,8.4,0.0
COL-sheet_1-0113,column,1.12,0.0,8.4,0.0
COL-sheet_1-0114,column,1.12,0.0,8.4,0.0
COL-sheet_1-0115,column,1.12,0.0,8.4,0.0
COL-sheet_1-0116,column,1.12,0.0,8.4,0.0
COL-sheet_1-0117,column,1.12,0.0,8.4,0.0
COL-sheet_1-0118,column,1.12,0.0,8.4,0.0
COL-sheet_1-0119,column,1.12,0.0,8.4,0.0
COL-sheet_1-0120,column,1.12,0.0,8.4,0.0
COL-sheet_1-0121,column,1.12,0.0,8.4,0.0
COL-sheet_1-0122,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0123,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0124,column,1.12,0.0,8.4,0.0
COL-sheet_1-0125,column,1.12,0.0,8.4,0.0
COL-sheet_1-0126,column,2.313,0.0,11.452,0.0
COL-sheet_1-0127,column,1.225,0.0,8.4,0.0
COL-sheet_1-0128,column,1.225,0.0,8.4,0.0
COL-sheet_1-0129,column,1.225,0.0,8.4,0.0
COL-sheet_1-0130,column,1.225,0.0,8.4,0.0
COL-sheet_1-0131,column,1.225,0.0,8.4,0.0
COL-sheet_1-0132,column,1.225,0.0,8.4,0.0
COL-sheet_1-0133,column,1.225,0.0,8.4,0.0
COL-sheet_1-0134,column,1.225,0.0,8.4,0.0
COL-sheet_1-0135,column,1.225,0.0,8.4,0.0
COL-sheet_1-0136,column,1.225,0.0,8.4,0.0
