부재ID,도면부재명,유형,구역,층,치수(mm),스팬/높이(mm),면적(m²),체적(m³)
C-B2F-PKG-0001,C,기둥,PKG,B2F,500x500,3300,,0.825
C-B2F-PKG-0002,C,기둥,PKG,B2F,500x500,3300,,0.825
C-B2F-PKG-0003,C,기둥,PKG,B2F,500x500,3300,,0.825
C-B2F-PKG-0004,C,기둥,PKG,B2F,500x500,3300,,0.825
C-B2F-PKG-0005,C,기둥,PKG,B2F,500x500,3300,,0.825
"('EC2', 213146.67978605814, 2354791.824795585)-B2F-PKG-0001","('EC2', 213146.67978605814, 2354791.824795585)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC2', 151440.79850220634, 2312679.7182151787)-B2F-PKG-0001","('EC2', 151440.79850220634, 2312679.7182151787)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC2', 213890.80489959102, 2300514.436117657)-B2F-PKG-0001","('EC2', 213890.80489959102, 2300514.436117657)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 151240.79850222822, 2396884.4410409667)-B2F-PKG-0001","('EC1', 151240.79850222822, 2396884.4410409667)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 181040.79850222403, 2396894.4410408987)-B2F-PKG-0001","('EC1', 181040.79850222403, 2396894.4410408987)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 181040.79850222776, 2388684.4410408633)-B2F-PKG-0001","('EC1', 181040.79850222776, 2388684.4410408633)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 172840.79850222683, 2388684.441040891)-B2F-PKG-0001","('EC1', 172840.79850222683, 2388684.441040891)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 188140.80489996867, 2330366.637231357)-B2F-PKG-0001","('EC1', 188140.80489996867, 2330366.637231357)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 182040.80489967065, 2330366.6372313583)-B2F-PKG-0001","('EC1', 182040.80489967065, 2330366.6372313583)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 213890.80489963852, 2305314.43611771)-B2F-PKG-0001","('EC1', 213890.80489963852, 2305314.43611771)",기둥,PKG,B2F,400x800,3300,,1.056
"('C1', 197440.79850222403, 2396894.4410408977)-B2F-PKG-0001","('C1', 197440.79850222403, 2396894.4410408977)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 207590.80489959195, 2300514.4361171937)-B2F-PKG-0001","('C2', 207590.80489959195, 2300514.4361171937)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 199290.8048995845, 2300514.436117657)-B2F-PKG-0001","('C2', 199290.8048995845, 2300514.436117657)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 193140.804899903, 2300514.436117395)-B2F-PKG-0001","('C2', 193140.804899903, 2300514.436117395)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 187540.80489966366, 2300514.436117454)-B2F-PKG-0001","('C2', 187540.80489966366, 2300514.436117454)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 182040.80489966366, 2300514.436117512)-B2F-PKG-0001","('C2', 182040.80489966366, 2300514.436117512)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 173840.80489966366, 2300514.436117597)-B2F-PKG-0001","('C2', 173840.80489966366, 2300514.436117597)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 151240.7985022338, 2354944.441040854)-B2F-PKG-0001","('C2', 151240.7985022338, 2354944.441040854)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 151240.7985021514, 2363144.441040855)-B2F-PKG-0001","('C2', 151240.7985021514, 2363144.441040855)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2', 151240.79850223009, 2371344.4410408568)-B2F-PKG-0001","('C2', 151240.79850223009, 2371344.4410408568)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2A', 151240.79850223009, 2374884.4410408568)-B2F-PKG-0001","('C2A', 151240.79850223009, 2374884.4410408568)",기둥,PKG,B2F,400x800,3300,,1.056
"('C2A', 151240.79850223009, 2383284.4410408577)-B2F-PKG-0001","('C2A', 151240.79850223009, 2383284.4410408577)",기둥,PKG,B2F,400x800,3300,,1.056
"('C3', 151240.79850221798, 2321594.441040859)-B2F-PKG-0001","('C3', 151240.79850221798, 2321594.441040859)",기둥,PKG,B2F,400x800,3300,,1.056
"('AC1', 178496.99803680228, 2317575.809182824)-B2F-PKG-0001","('AC1', 178496.99803680228, 2317575.809182824)",기둥,PKG,B2F,500x700,3300,,1.155
"('AC1', 180280.98185069812, 2325891.5562742343)-B2F-PKG-0001","('AC1', 180280.98185069812, 2325891.5562742343)",기둥,PKG,B2F,500x700,3300,,1.155
"('AC2', 208686.6924800265, 2331244.022335531)-B2F-PKG-0001","('AC2', 208686.6924800265, 2331244.022335531)",기둥,PKG,B2F,771x888,3300,,2.2619
"('EC1', 196340.79850226454, 2330546.638872613)-B2F-PKG-0001","('EC1', 196340.79850226454, 2330546.638872613)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 200440.80489988392, 2330366.637231352)-B2F-PKG-0001","('EC1', 200440.80489988392, 2330366.637231352)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 208518.20124788675, 2338346.207345199)-B2F-PKG-0001","('EC1', 208518.20124788675, 2338346.207345199)",기둥,PKG,B2F,800x400,3300,,1.056
"('EC1', 189240.79850222776, 2388684.441040865)-B2F-PKG-0001","('EC1', 189240.79850222776, 2388684.441040865)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 194040.79850222683, 2388684.441040865)-B2F-PKG-0001","('EC1', 194040.79850222683, 2388684.441040865)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 202240.8048998746, 2388684.441040786)-B2F-PKG-0001","('EC1', 202240.8048998746, 2388684.441040786)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 203922.03104565572, 2396787.9687206037)-B2F-PKG-0001","('EC1', 203922.03104565572, 2396787.9687206037)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC1', 189240.79850222403, 2396894.441040901)-B2F-PKG-0001","('EC1', 189240.79850222403, 2396894.441040901)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC2', 151240.79850223009, 2350834.441040862)-B2F-PKG-0001","('EC2', 151240.79850223009, 2350834.441040862)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC2', 151240.79850222822, 2387694.4377589663)-B2F-PKG-0001","('EC2', 151240.79850222822, 2387694.4377589663)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC2A', 151240.79850221798, 2329994.441040855)-B2F-PKG-0001","('EC2A', 151240.79850221798, 2329994.441040855)",기둥,PKG,B2F,400x800,3300,,1.056
"('EC2', 168140.80489973165, 2300514.436117657)-B2F-PKG-0001","('EC2', 168140.80489973165, 2300514.436117657)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 168175.5972587642, 2317714.436117257)-B2F-PKG-0001","('PC2(T)', 168175.5972587642, 2317714.436117257)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 168175.5972587684, 2326314.436117257)-B2F-PKG-0001","('PC2(T)', 168175.5972587684, 2326314.436117257)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 196581.2356272958, 2346844.441041325)-B2F-PKG-0001","('PC2', 196581.2356272958, 2346844.441041325)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 188381.23562729533, 2346844.441041302)-B2F-PKG-0001","('PC2', 188381.23562729533, 2346844.441041302)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 196581.23562730232, 2355044.441041321)-B2F-PKG-0001","('PC2', 196581.23562730232, 2355044.441041321)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 188381.2356273014, 2355044.441041298)-B2F-PKG-0001","('PC2', 188381.2356273014, 2355044.441041298)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 202081.23562723992, 2355044.441041065)-B2F-PKG-0001","('PC2', 202081.23562723992, 2355044.441041065)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 196581.23562733352, 2363244.441041557)-B2F-PKG-0001","('PC2', 196581.23562733352, 2363244.441041557)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 188381.23562733305, 2363244.4410415348)-B2F-PKG-0001","('PC2', 188381.23562733305, 2363244.4410415348)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 167381.23562713328, 2371444.441040897)-B2F-PKG-0001","('PC2', 167381.23562713328, 2371444.441040897)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2', 167581.2356271901, 2374984.441040906)-B2F-PKG-0001","('PC2', 167581.2356271901, 2374984.441040906)",기둥,PKG,B2F,800x400,3300,,1.056
"('C1', 172840.7985022231, 2396894.441040927)-B2F-PKG-0001","('C1', 172840.7985022231, 2396894.441040927)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 207831.2420245665, 2305473.7676743483)-B2F-PKG-0001","('PC2(S)', 207831.2420245665, 2305473.7676743483)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 199531.2420245593, 2305473.7676743967)-B2F-PKG-0001","('PC2(T)', 199531.2420245593, 2305473.7676743967)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 193381.24202487874, 2305473.767674369)-B2F-PKG-0001","('PC2(T)', 193381.24202487874, 2305473.767674369)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 187781.2420246394, 2305473.767674377)-B2F-PKG-0001","('PC2(T)', 187781.2420246394, 2305473.767674377)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 182285.1143072478, 2305473.767674385)-B2F-PKG-0001","('PC2(T)', 182285.1143072478, 2305473.767674385)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(T)', 174085.1143072478, 2305473.7676743967)-B2F-PKG-0001","('PC2(T)', 174085.1143072478, 2305473.7676743967)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 168381.24202471087, 2305473.7676744023)-B2F-PKG-0001","('PC2(S)', 168381.24202471087, 2305473.7676744023)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 207831.2420245665, 2313514.436117645)-B2F-PKG-0001","('PC2(S)', 207831.2420245665, 2313514.436117645)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 199531.24202455906, 2313514.436117693)-B2F-PKG-0001","('PC2(S)', 199531.24202455906, 2313514.436117693)",기둥,PKG,B2F,400x800,3300,,1.056
"('PC2(S)', 192977.3697422631, 2313514.436117665)-B2F-PKG-0001","('PC2(S)', 192977.3697422631, 2313514.436117665)",기둥,PKG,B2F,400x800,3300,,1.056
