부재ID,도면명,유형,구역,층,치수,체적(m³)
C1-B2F-DONG-0001,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0002,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0003,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0004,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0005,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0006,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0007,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0008,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0009,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0010,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0011,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0012,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0013,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0014,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0015,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0016,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0017,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0018,C1,기둥,DONG,B2F,400x800,1.056
TC13-B2F-DONG-0001,TC13,기둥,DONG,B2F,1499x800,3.96
TC13-B2F-DONG-0002,TC13,기둥,DONG,B2F,1500x800,3.96
TC13-B2F-DONG-0003,TC13,기둥,DONG,B2F,1500x800,3.96
C1-B2F-DONG-0019,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0020,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0021,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0022,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0023,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0024,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0025,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0026,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0027,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0028,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0029,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0030,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0031,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0032,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0033,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0034,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0035,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0036,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0037,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0038,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0039,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0040,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0041,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0042,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0043,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0044,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0045,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0046,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0047,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0048,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0049,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0050,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0051,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0052,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0053,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0054,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0055,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0056,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0057,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0058,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0059,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0060,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0061,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0062,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0063,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0064,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0065,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0066,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0067,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0068,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0069,C1,기둥,DONG,B2F,400x800,1.056
C1-B2F-DONG-0070,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0071,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0072,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0073,C1,기둥,DONG,B2F,800x400,1.056
C1-B2F-DONG-0074,C1,기둥,DONG,B2F,800x400,1.056
